KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number
K07011.01,FALSE POSITIVE,,1.012694226,132.44896,2454965.449,0.534,3.6017,108504.0,0.316,0.376,42.51,0.02,78.73,2230.0,5846.79,2.7319999999999998,0.28600000000000003,0.312,0.0,0.0,6487.0,4.292,-0.3,1.2329999999999999,1.085,196.391,983.4789999999999,185.1,1,179
K04593.01,FALSE POSITIVE,,0.981399749,132.12493,2454965.125,0.408,0.5051,158.3,0.012,51.21367,1.21,0.019,88.3,1820.0,2602.14,13.76,0.33399999999999996,0.29600000000000004,0.0,0.0,6038.0,4.524,-0.28,0.898,0.982,4.035,11.55,16.2,1,1362
K07012.01,FALSE POSITIVE,,10.303356001000001,137.1682892,2454970.168,0.364,5.986330000000001,520067.0,0.7090000000000001,1.8912200000000001,69.66,0.085,89.05,787.0,90.76,21.976,0.42100000000000004,0.252,0.0,0.0,5497.0,4.423,-0.28,0.9,0.782,3090.8709999999996,14178.571000000002,2039.1,1,0
K07879.01,FALSE POSITIVE,,128.208643,230.1943,2455063.194,0.8109999999999999,2.745,212.2,0.015,11.87792,6.15,0.601,89.79,792.0,93.05,217.7,0.244,0.327,0.0,0.0,7128.0,3.52,-0.5,3.8110000000000004,1.754,6.417000000000001,8.972999999999999,8.9,1,6
K03631.01,FALSE POSITIVE,,2.682767439,131.570648,2454964.571,0.509,4.58143,394412.0,0.647,0.935,70.67,0.038,85.88,1310.0,695.41,7.085,0.40399999999999997,0.262,0.0,0.0,5780.0,4.438,0.0,1.0,1.0,213.282,1816.933,508.4,1,235
K01147.01,FALSE POSITIVE,,2.6827682999999998,134.25535,2454967.255,0.769,2.957,79.8,0.009000000000000001,0.25688,1.19,0.038,80.39,1551.0,1366.57,4.61,0.307,0.306,0.0,0.0,6180.0,4.262,-0.28,1.2229999999999999,0.997,3.955,22.633000000000003,26.7,1,498
K07013.01,FALSE POSITIVE,,2.214029545,133.16920459999997,2454966.169,0.371,5.64264,349110.0,0.565,0.39041,94.23,0.036000000000000004,85.44,1894.0,3041.8,4.66,0.294,0.311,0.0,0.0,6604.0,4.178,-0.12,1.526,1.2830000000000001,4137.682,42297.773,2680.5,1,0
K03301.01,CANDIDATE,,20.710636800000003,140.89982,2454973.9,0.604,2.693,142.5,0.011000000000000001,4.77757,1.12,0.142,89.27,626.0,36.18,47.7,0.39299999999999996,0.268,0.0,0.0,5631.0,4.478,-0.12,0.9009999999999999,0.89,3.342,10.061,11.0,1,62
K03732.01,FALSE POSITIVE,,1.135930136,132.396556,2454965.397,1.2819999999999998,4.5036,27247.4,0.5,0.12179000000000001,52.05,0.021,50.72,1836.0,2683.57,2.025,0.307,0.306,0.0,0.0,6247.0,4.489,-0.34,0.9540000000000001,1.022,141.123,2119.897,551.7,1,1012
K01144.01,FALSE POSITIVE,,2.44199803,134.57095,2454967.571,0.856,2.759,251.7,0.017,0.17723,1.44,0.034,77.07,1282.0,638.05,3.82,0.324,0.298,0.0,0.0,5970.0,4.564,-0.66,0.7959999999999999,0.847,4.728,21.773000000000003,27.2,1,545
K07014.01,FALSE POSITIVE,,2.441988077,132.1323834,2454965.1319999998,0.888,3.9452599999999998,95343.5,0.402,0.45778,90.39,0.037000000000000005,80.26,1993.0,3721.74,5.245,0.335,0.295,0.0,0.0,6078.0,3.8739999999999997,-0.26,2.059,1.156,2110.9139999999998,16412.3,1174.5,1,284
K07015.01,FALSE POSITIVE,,2.44200193,132.1295,2454965.129,0.124,3.1460000000000004,128.6,0.01,0.67657,0.95,0.035,88.81,1217.0,518.48,5.97,0.45299999999999996,0.233,0.0,0.0,5587.0,4.556,0.0,0.851,0.9520000000000001,3.4730000000000003,8.639,9.6,1,284
K08155.01,FALSE POSITIVE,,320.56794551,279.62475689999997,2455112.625,0.331,15.3614,898.9,0.027000000000000003,0.6863100000000001,2.43,0.885,89.88,234.0,0.71,155.06,0.442,0.24,0.0,0.0,5546.0,4.575,-0.14,0.81,0.907,4.85,7.195,7.5,1,4
K04436.01,FALSE POSITIVE,,0.9731608359999999,132.25412,2454965.254,0.034,0.8640000000000001,138.3,0.011000000000000001,13.205570000000002,1.22,0.02,89.78,1932.0,3303.84,8.71,0.366,0.284,0.0,0.0,6108.0,4.466,0.07,1.03,1.1320000000000001,3.361,10.902999999999999,9.8,1,1376
K03761.01,FALSE POSITIVE,,164.950399,280.9154,2455113.915,0.7240000000000001,30.86,24493.0,0.155,0.03449,11.23,0.509,88.87,252.0,0.95,36.74,0.517,0.191,0.0,0.0,5001.0,4.603,-0.58,0.664,0.645,85.552,119.721,65.7,1,7
